,Frame number,x,y,z
0,0,4.1069080524559665,-0.056695904516421786,1.7693487334926328
1,1,4.098778802372916,-0.2696185506992605,1.7730712962267934
2,2,3.887400308651997,-0.24603932964894576,1.7596866720385447
3,3,3.850629822442893,-0.4554640445252577,1.7453613245507371
4,4,3.8205937296097443,-0.6664470073279782,1.7454953843477847
5,5,3.7914465180317136,-0.8775514994188425,1.7466481696741316
6,6,3.7002887915316527,-1.065587904285212,1.7048322064304644
7,7,3.5508458648453525,-0.946454930666017,1.6105446584837388
8,8,3.503757118535824,-1.152963269026313,1.6340595813284189
9,9,3.4138753607965717,-1.3458755020207844,1.6230080916318228
10,10,3.329502083113557,-1.5414739506816326,1.6292042462634762
11,11,3.219500391942238,-1.723773037239123,1.6201121388356434
12,12,3.1141356751121294,-1.9090053954090145,1.6219136304001374
13,13,3.0058141402699983,-2.092088056422589,1.6346878138714347
14,14,2.8837822383024863,-2.266706600242933,1.640395220811465
15,15,2.7604062666615796,-2.4402369691357753,1.649427171392657
16,16,2.629679489347888,-2.608073370706999,1.66197497751661
17,17,2.4800444599448346,-2.7598141900334654,1.6616971944989742
18,18,2.323791294476971,-2.9047228641725074,1.660141598708802
19,19,2.1749779255069988,-3.054721962783484,1.6879057314960213
20,20,2.0172369435762314,-3.1955916079076476,1.7141644660396802
21,21,1.8432609052407054,-3.318551377251558,1.719570818386025
22,22,1.6647597968449175,-3.434737451704013,1.7269292042503666
23,23,1.4826752847875917,-3.5445443902123106,1.7412002295115532
24,24,1.2925771102334087,-3.640394707799009,1.750760359605923
25,25,1.1023327393674527,-3.7354539491183663,1.7644284037721356
26,26,0.9009613985767897,-3.8051219394199935,1.7678852337112296
27,27,0.7000438871025981,-3.8751964664364,1.7796202106677383
28,28,0.5002121627625535,-3.945433550855681,1.8030729153579872
29,29,0.29227383209189584,-3.9919280172777025,1.807061733197463
30,30,0.08128195321282691,-4.02186872385717,1.8084676401386715
31,31,-0.12917062397286733,-4.053781119230401,1.8188265597332423
32,32,-0.3412944759685632,-4.0717974985259655,1.8285670386388855
33,33,-0.5542811126288374,-4.073552792081086,1.8356102613674727
34,34,-0.7671299343785785,-4.072321386256531,1.84609158557613
35,35,-0.9792108834593489,-4.06311757232253,1.8648787163786968
36,36,-1.190657178955793,-4.038345927279246,1.8745132978644095
37,37,-1.4019949577671122,-4.016848781834882,1.8915488906796458
38,38,-1.6054804447415705,-3.9536419607740263,1.8877344706878914
39,39,-1.8107814579769417,-3.896544345676285,1.8904458822031203
40,40,-2.014202389556457,-3.833855722668695,1.9007442596704383
41,41,-2.2137186837564435,-3.7617862553137624,1.9211215917236193
42,42,-2.409669896931047,-3.679475880040144,1.9367459194033065
43,43,-2.600432557466432,-3.5847099421867843,1.9434555994224623
44,44,-2.7827854354851844,-3.4749442324604525,1.9327358846745035
45,45,-2.96330311111981,-3.361747071071478,1.9367066370812283
46,46,-3.135781277883166,-3.2368459570731716,1.9285219471262613
47,47,-3.3113950611654994,-3.119642947583117,1.9574917439060942
48,48,-3.473845376912289,-2.98197806341679,1.9661097494157815
49,49,-3.6234121956294603,-2.8303855620602816,1.9580180432281642
50,50,-3.773003143973514,-2.678604934174452,1.9591064410575179
51,51,-3.9089542835030855,-2.5144955300859584,1.9602839757939508
52,52,-4.041545659493575,-2.347700089879529,1.964131517478854
53,53,-4.157489573056043,-2.169111133453923,1.955243942536446
54,54,-4.272034159197871,-1.9894425795740274,1.9590837302948034
55,55,-4.357350881273678,-1.7954571598104052,1.9365735261398893
56,56,-4.440968558544404,-1.5998941332060437,1.9231876339053235
57,57,-4.521764096322783,-1.4026936321337584,1.9233848385383463
58,58,-4.600877920468532,-1.2048426303462276,1.9268459595172964
59,59,-4.6635195692350075,-1.0012224023074654,1.9212942020491646
60,60,-4.717351514103453,-0.7950402184273151,1.9186438813482787
61,61,-4.767790849760102,-0.5881385497399835,1.926616857620571
62,62,-4.794848031105459,-0.3769104043629773,1.9184575086293933
63,63,-4.807748537315946,-0.16511553202766438,1.898645784077839
64,64,-4.818310855921978,0.047528574521221695,1.8893228653602054
65,65,-4.82094417778531,0.26047355008777284,1.8813542748543524
66,66,-4.811285647267165,0.47302514672909823,1.8693323369415897
67,67,-4.792535597438321,0.6851657234972164,1.8615344681538373
68,68,-4.761820368587206,0.8957156040051385,1.8496467445513842
69,69,-4.733631263173896,1.1069260293457575,1.853041741039896
70,70,-4.690357297785091,1.315588760420051,1.8512461860085772
71,71,-4.637305581043031,1.5219900942822413,1.8512591611253493
72,72,-4.571765042469676,1.7246949155563602,1.84567447908723
73,73,-4.507669650180824,1.9273004960236495,1.8617603389826745
74,74,-4.426205960461683,2.1242240854620427,1.8626336188734283
75,75,-4.343884846981044,2.3200920679340267,1.879215631881115
76,76,-4.241346450710454,2.5068210857213113,1.873372118881528
77,77,-4.1293231744103,2.688070355126734,1.8694372307376537
78,78,-4.0079853520821676,2.863237609726142,1.8663451074383985
79,79,-3.8799858432172702,3.0334925906120773,1.8596099272923512
80,80,-3.746034411691313,3.1992294140012714,1.8575327169682008
81,81,-3.601909191893851,3.356196477637117,1.8552398171451707
82,82,-3.459317297213156,3.5138700321095246,1.8701595098072608
83,83,-3.306121313082101,3.66199028476926,1.8728755060993334
84,84,-3.144255810793948,3.800338762449172,1.8815503738435453
85,85,-2.9717859529871418,3.925431665250016,1.8768696415628598
86,86,-2.7925114367259174,4.040584969457346,1.872824918189996
87,87,-2.6090792960248894,4.149016303013857,1.8694646951736082
88,88,-2.423272015829857,4.2533652606878505,1.8711808235489515
89,89,-2.2288923004425443,4.340427980349208,1.8639279255874477
90,90,-2.028265434655308,4.411096150586949,1.850856358069944
91,91,-1.8264965177872254,4.47941348231987,1.8446885538820987
92,92,-1.621082682777246,4.5359353261374356,1.83954725096547
93,93,-1.4126250480780742,4.578776893450944,1.828321829660521
94,94,-1.2048440260041073,4.625970460078682,1.8322979549824625
95,95,-0.993555972423875,4.653171856589142,1.8265154053819468
96,96,-0.7813124995259872,4.671441092122002,1.8206045101017605
97,97,-0.5684815458758723,4.6820299264993075,1.8179858859138682
98,98,-0.35664240208145775,4.697486143351634,1.8353432461621322
99,99,-0.14417804487654387,4.684614934497622,1.8248922013404918
100,100,0.06732602831755174,4.66011568575242,1.8158473535832225
101,101,0.2779859162327728,4.628116479063751,1.8120450079167776
102,102,0.48242557690829213,4.5722209819677335,1.789771391573838
103,103,0.6865647595712389,4.51248126652639,1.7765670006974619
104,104,0.8898695314816516,4.448623684945108,1.7742487188401679
105,105,1.0910980975970728,4.378517857900011,1.7713794626335153
106,106,1.2784899411744022,4.283163252433069,1.73662616617608
107,107,1.4649937275846563,4.181969949862661,1.7168208990166358
108,108,1.6459215375048755,4.071299662574655,1.6960071884683399
109,109,1.8211479047039754,3.9519631435707563,1.674315925066613
110,110,1.9924790889390258,3.82588078457178,1.6614761627793582
111,111,2.1612829122496904,3.6958859426200066,1.6567216134463412
112,112,2.3249781275831705,3.5594710873346767,1.6534262876456456
113,113,2.474244234087672,3.408146352825249,1.6380493694770806
114,114,2.626062809352276,3.258590722707853,1.6385280578299022
115,115,2.7705399616191024,3.1021522429670725,1.64685572058643
116,116,2.9095256816258006,2.940860800055069,1.6560228092905018
117,117,3.0306998036592567,2.7657045133320723,1.6487356419013788
118,118,3.145438112482446,2.586138337463168,1.6460702320010288
119,119,3.2558120483108355,2.403839354014479,1.6452514762072414
120,120,3.3593063767182163,2.217598747063513,1.6496509929722596
