,frame,x,y,z
0,1,-4.106908052455965,0.056695904516420766,-1.769348733492634
1,2,-4.11874218672874,-0.15524782982134852,-1.788211452774313
2,3,-4.104630066589087,-0.32624639268097083,-1.7614990207037289
3,4,-4.075930195058124,-0.5602599919200626,-1.7719893687401362
4,5,-4.022323517734741,-0.7656848320960311,-1.7787117518794693
5,6,-3.965181864255871,-1.0116060729259302,-1.7667317142756866
6,7,-3.9369446663287673,-1.1898364130797578,-1.7852868628785052
7,8,-3.8503813765808217,-1.40145413392369,-1.8200469615627186
8,9,-3.808718067396049,-1.5727057856899487,-1.7826209574576215
9,10,-3.643823007806387,-1.7998146842476557,-1.787765988665718
10,11,-3.5572909571523272,-1.9609512127538586,-1.7552692409090898
11,12,-3.5258149684123277,-2.1080508798012163,-1.7635243572790877
12,13,-3.4025915380626937,-2.3133493683675477,-1.7966421535785344
13,14,-3.203361804689002,-2.5270363636249256,-1.799968154643878
14,15,-3.084728440871777,-2.6966945069501818,-1.810068471168572
15,16,-2.93220318187135,-2.874885227041019,-1.8140791656846855
16,17,-2.772052552137224,-2.986394876783339,-1.7846784337764416
17,18,-2.626600784762634,-3.13327168727436,-1.8094337799442863
18,19,-2.4087286195257134,-3.3192590351356572,-1.7840437568544754
19,20,-2.2104157049430215,-3.452638592094128,-1.7560848790432928
20,21,-2.1071841874776123,-3.5054595199877747,-1.7847234846453288
21,22,-1.9141067965924725,-3.6136702285605216,-1.8160633907406687
22,23,-1.6517128434265904,-3.7685342282566454,-1.7768350838782871
23,24,-1.527484760486037,-3.783516759019237,-1.8004965231121812
24,25,-1.2857499153040304,-3.8819775635761897,-1.7606159083118231
25,26,-1.1357267091783756,-3.949014316919971,-1.7847755452547354
26,27,-0.8904490142189339,-4.018868073489168,-1.8032947965482073
27,28,-0.6693252747615606,-4.047441803643879,-1.7602149623281709
28,29,-0.4715008810913685,-4.100756592257861,-1.775539580850794
29,30,-0.2382527417385388,-4.093606801974876,-1.766781569298593
30,31,-0.05669590439845659,-4.106908052406017,-1.769348733504798
31,32,0.1480638095350863,-4.1244398989907385,-1.7164672427970113
32,33,0.3262463926882876,-4.104630066587693,-1.7614990207106966
33,34,0.5602599919080236,-4.075930195073612,-1.7719893687287824
34,35,0.7656848320960705,-4.022323517734818,-1.7787117518796174
