frame,matches,inliers,inlier_ratio,mean_parallax,median_parallax,mean_epi_error,max_epi_error,delta_t_norm,delta_R_angle_deg
1,326,184,0.5644171779141104,113.82939147949219,41.9156494140625,0.02815210698415746,0.6831830593347613,0.9999999999999999,2.575480101349188
2,533,240,0.450281425891182,449.23779296875,480.04364013671875,0.005710678996675842,0.25667971247166266,0.9999999999999999,0.16126657693184782
3,153,106,0.6928104575163399,57.025211334228516,38.683868408203125,0.01600586391008692,0.19245749643897606,1.0,2.6074575218131315
4,163,151,0.9263803680981595,37.200172424316406,33.496456146240234,0.0109772150828674,0.09329002479494085,1.0,3.290752352972573
5,207,184,0.8888888888888888,53.16471862792969,47.45549774169922,0.013724454011732098,0.11789128895894335,1.0,2.8802116325336904
6,179,161,0.8994413407821229,47.42348861694336,47.46131896972656,0.01488113435757097,0.15804424152651686,1.0,2.9643653557136345
7,267,94,0.352059925093633,45.64296340942383,39.87796401977539,0.009022403864888225,0.1384811641047819,1.0,1.97082384812829
8,232,204,0.8793103448275862,94.48906707763672,37.06310272216797,0.021826692886835707,0.4393830037131481,1.0,3.0065979692611564
9,357,203,0.5686274509803921,100.9686050415039,40.296600341796875,0.02400908169110513,0.434233350386633,0.9999999999999998,2.538292766839918
10,323,229,0.7089783281733746,99.31863403320312,36.99019241333008,0.02149177935490633,0.685740940368885,1.0,2.765350505651635
11,333,231,0.6936936936936937,76.10428619384766,37.04890441894531,0.01949996523555571,0.3517565314650756,1.0,2.587997329564062
12,362,323,0.8922651933701657,104.26486206054688,39.362876892089844,0.018663981244881354,0.5686990037159713,1.0,3.0119170349775137
13,357,308,0.8627450980392157,129.693603515625,39.1700439453125,0.01571132849762668,0.26011735617925624,1.0,2.891914623734889
14,311,230,0.7395498392282959,105.6814193725586,38.25639343261719,0.013794031802475468,0.5755751699178884,1.0,2.777295029586351
15,303,198,0.6534653465346535,94.96652221679688,31.59141731262207,0.011080747594814063,0.5312466122036034,1.0,2.50645781414291
16,309,201,0.6504854368932039,110.68790435791016,36.95274353027344,0.013515211226992061,0.2940143852992867,0.9999999999999999,2.5018659959311913
17,290,239,0.8241379310344827,96.83865356445312,34.56634521484375,0.009521474676565209,0.5052074290562091,1.0,2.8103865418126164
18,279,228,0.8172043010752689,137.5554962158203,34.85263442993164,0.0217237065740699,0.482237265369832,0.9999999999999999,2.7880192808444426
19,270,224,0.8296296296296296,119.88111877441406,35.835453033447266,0.012151795727290774,0.38894459642721607,1.0,3.064094317707592
20,284,239,0.8415492957746479,102.27362060546875,35.368995666503906,0.011795669743010714,0.531870194087015,0.9999999999999999,2.9719839897417533
21,284,230,0.8098591549295775,100.44388580322266,33.53636169433594,0.015638014609976922,0.3968525247327841,1.0,2.84841337755973
22,304,221,0.7269736842105263,107.5950698852539,35.1167106628418,0.016941665128376613,0.32275138301721007,1.0,2.720326867908354
23,306,261,0.8529411764705882,89.87984466552734,35.968719482421875,0.01500112076593422,0.3627622089351015,1.0,3.2486460359051943
24,299,177,0.5919732441471572,95.43848419189453,32.90020751953125,0.021102089271181044,0.37676737449070474,0.9999999999999999,2.3189047689115196
25,286,221,0.7727272727272727,86.41936492919922,32.207340240478516,0.021764324406022415,0.32705491201838965,1.0,2.672739353436887
26,296,194,0.6554054054054054,103.56224822998047,35.21099090576172,0.019985840158980025,0.3183317454245198,0.9999999999999999,2.5657808970085463
27,270,225,0.8333333333333334,109.31912994384766,35.580589294433594,0.017029966932754385,0.4034320282111439,0.9999999999999999,3.141803043083814
28,266,206,0.7744360902255639,88.38482666015625,30.862018585205078,0.018729986106734386,0.4145091937772355,0.9999999999999999,2.6494175365350805
29,261,225,0.8620689655172413,94.796142578125,33.11476135253906,0.019076206113081275,0.48647463763132925,1.0,3.119137173477958
30,255,205,0.803921568627451,112.45182037353516,34.93126678466797,0.015127796158762676,0.2755819083722192,1.0,2.806700577321309
31,254,183,0.7204724409448819,111.21430969238281,34.21669387817383,0.027509433541254475,0.4477518223375786,1.0,2.54841182906235
32,258,188,0.7286821705426356,121.74308776855469,35.75105285644531,0.016504400008101116,0.26413404094150317,0.9999999999999999,2.7296588819501064
33,287,246,0.8571428571428571,108.7257308959961,35.92716979980469,0.02202152112192649,0.47022201676294695,0.9999999999999999,3.022641456710734
34,260,192,0.7384615384615385,108.73641204833984,39.327880859375,0.02316303705730993,0.4810918998048953,1.0,2.7621376389776833
35,286,233,0.8146853146853147,104.19080352783203,32.16559982299805,0.025162459440898836,0.47183561813218566,1.0,2.8130555086441182
36,279,234,0.8387096774193549,108.59252166748047,30.58452033996582,0.024592865533607268,0.36249567843841124,1.0,3.0523474940677677
37,256,206,0.8046875,119.45418548583984,33.17919921875,0.031352490647198264,0.5422112031229163,1.0,2.851959550755358
38,252,180,0.7142857142857143,105.55300903320312,31.95281219482422,0.030109078989250016,0.36811749967632085,1.0,2.4237619632206973
39,233,201,0.8626609442060086,103.86398315429688,30.307449340820312,0.023546003305758005,0.4490658377092578,1.0,2.944703604176778
40,283,248,0.8763250883392226,111.69593811035156,30.514184951782227,0.030297046492795566,0.453584128640363,0.9999999999999999,3.064376397130162
41,277,223,0.8050541516245487,123.0871810913086,34.075477600097656,0.022991376861249153,0.41483766371997344,1.0,2.901272215943386
42,239,194,0.8117154811715481,152.05482482910156,34.2888298034668,0.027695919499234542,0.3090710801109504,1.0,2.981011239648931
43,226,179,0.7920353982300885,146.5519256591797,32.49470520019531,0.025440562964298565,0.6500508468446433,0.9999999999999999,2.8334731148580485
44,226,179,0.7920353982300885,149.27114868164062,31.937236785888672,0.02486981969308744,0.7012037172745378,1.0,2.5662382605699667
45,251,206,0.8207171314741036,128.04559326171875,33.672176361083984,0.016258588972073065,0.4553474553613257,1.0,2.7618324498026374
46,223,176,0.7892376681614349,155.07444763183594,29.81156349182129,0.01217114833822127,0.5374603405399818,1.0,3.1554264915418226
