,Frame number,x,y,z
0,0,4.1069080524559665,-0.056695904516421786,1.7693487334926328
1,1,4.115037302539017,0.15622674166641692,1.7656261707584722
2,2,4.327694764955968,0.15153371144613453,1.778694245729926
3,3,4.3459575367927,0.3633309977580991,1.7936734350755492
4,4,4.337975810590338,0.5762830969558853,1.7955946148723438
5,5,4.304755022903732,0.7867878791249818,1.7959283620035111
6,6,4.316757254350499,0.9951671550300765,1.8389402121298606
7,7,4.504303699077306,0.9604723779379593,1.9340117586124312
8,8,4.433833018784674,1.160863044674463,1.916881103583568
9,9,4.385248788980394,1.367623922827144,1.934359871205512
10,10,4.312481660693275,1.5679180840680769,1.9361457747197408
11,11,4.2479636687342275,1.7702419564828606,1.9539916370520412
12,12,4.160168005321358,1.9642398922423128,1.9625191129206963
13,13,4.055563654984234,2.1499045015519727,1.9609134422930008
14,14,3.946349582874952,2.3328053179784454,1.9668777730654545
15,15,3.8213122321428905,2.5053425278830246,1.9704228482375246
16,16,3.688859612359467,2.672285996361563,1.971898410024773
17,17,3.5617521446876714,2.842648945372553,1.9872656708108452
18,18,3.4258058493702515,3.0058651452590683,2.0044433400881054
19,19,3.268300453146086,3.148966695378533,1.993041938797041
20,20,3.104210073531621,3.2845441539032763,1.9825970598759046
21,21,2.9415126765738884,3.4218078967968535,1.992805749691393
22,22,2.770647422381117,3.5488838745992712,2.0013354749462944
23,23,2.5922269678984287,3.665410627983398,2.0032466540773086
24,24,2.4096084805413813,3.775133806241546,2.0084723278213854
25,25,2.2190433461210737,3.8704892667967092,2.0113465448291494
26,26,2.032546492102661,3.9727340004109135,2.0247976907699257
27,27,1.8370828679339222,4.057432645299132,2.030806569088424
28,28,1.6333443324075512,4.119648735578386,2.0248263776484996
29,29,1.4316507221389152,4.1870967535800006,2.038480969630044
30,30,1.228158658019337,4.248484832385609,2.053923736824915
31,31,1.0187802462789897,4.287630911803694,2.060576600945538
32,32,0.8086123818562723,4.321925981539858,2.0689020074527864
33,33,0.5979639815213116,4.352264702974282,2.0799839231613384
34,34,0.38524349345506714,4.363193015078976,2.08680751379429
35,35,0.17214536346473336,4.361488936560529,2.0852980275403876
36,36,-0.04073634483674607,4.354563675506234,2.092327570036073
37,37,-0.25129924480777555,4.321746060411766,2.0908226670403325
38,38,-0.4632449510390575,4.310575122275005,2.110063851748994
39,39,-0.6729279664000638,4.2750125231247855,2.123640672014497
40,40,-0.8796810330650867,4.223604294707392,2.1287747652468645
41,41,-1.0829554670914092,4.1599430836062705,2.1222364084088143
42,42,-1.2828723958016808,4.08618272091204,2.119299411985132
43,43,-1.479661024498181,4.004533560187956,2.1241620868178233
44,44,-1.6741477056351335,3.9201177658420705,2.145723625793776
45,45,-1.8628141075736595,3.821356953938371,2.1539264453954483
46,46,-2.0478907341295955,3.7175945016817824,2.1738259740858163
47,47,-2.2154439079145622,3.58724149545625,2.155117068177779
48,48,-2.385213608041718,3.458423262871918,2.155444650700851
